reaction,description,DSM27147_S345,M10_S153,M11_S154,M13_S155,M14_S347,M1_S149,M2_S150,M4_S151,M6_S346,M8_S152,W289_S348,W290_S156,W291_S157,W292_S349,W293_S158,W294_S159,W295_S160,W296_S350,W298_S161
ALATA_D,D-alanine transaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALATA_L,L-alanine transaminase,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1
ALATHRtr,Dipeptide transport via ABC system ala-thr,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAabc,L-alanine transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAt2pp,L-alanine transport in via proton symport (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAt4,Alanine-Sodium symporter,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALAtex,L-alanine transport via diffusion (extracellular to periplasm),1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1
ALAtpp,L-alanine export via facilited diffusion,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ALCD19,Alcohol dehydrogenase (glycerol),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD19y,Alcohol dehydrogenase  glycerol  NADP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD2ir,Alcohol dehydrogenase  reverse rxn  acetaldehyde   ethanol,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD2x,Alcohol dehydrogenase (ethanol),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALCD2y,"Alcohol dehydrogenase (ethanol, NADP)",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ALCDpp,Alcohol dehydrogenase  forward rxn  ethanol   acetaldehyde,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0
ALDD2x,"Aldehyde dehydrogenase (acetaldehyde, NAD)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALDD31,Aminoacetaldehyde oxidation,1,0,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1
ALDD4,"Aldehyde dehydrogenase (butanal, NAD)",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALMPC,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALOX,Oxidative decarboxylation of acetolacate chemical,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALPHNH,Allophanate hydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALTRH,Altronate hydrolase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AM3PA,Anhydrous-N-Acetylmuramyl-tripeptide amidase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1
AM4PCP,"Anhydrous-N-Acetylmuramyl-tetrapeptide L,D-carboxypeptidase",1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
AMANAPEr,N-acetylmannosamine 6-phosphate epimerase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMANK,N-acetyl-D-mannosamine kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMANK_1,N-acetyl-D-mannosamine kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMID_1,Acetamidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMMQLT8_2,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
AMMQT8_2,S-adenosylmethione:2-demethylmenaquinone methyltransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AMPEP1,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP10,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP11,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP12,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP13,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP14,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP15,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP16,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP17,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP18,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP2,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP3,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP4,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP5,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP6,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP7,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP8,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPEP9,Aminopeptidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AMPMS2,4-amino-2-methyl-5-phosphomethylpyrimidine synthetase,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AMPTASECG,Alanyl aminopeptidase (cys-gly),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ANHGMtex,GlcNAc-anhMurNAc transport via diffusion (extracellular to periplasm),1,0,0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1
ANHMK,"1,6-anhydrous-N-Acetylmuramate kinase",1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1
ANTDR,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AOBUTDs,L-2-amino-3-oxobutanoate decarboxylation (spontaneous),0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0
AP3S,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
APATi,Tetrahydrodipicolinate acetyltransferase,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
APCt6,Ampicilin  transport out via proton antiport TtgABC system  periplasmexternal,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APCtex,Ampicilin transport  extracellular,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
APDH,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
APG3PAT120,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C12:0),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
APG3PAT141,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C14:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
APG3PAT161,Acyl-phosphate:glycerol-3-phosphate acyltransferase (C16:1),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
APPLDHr,Aminopropanol dehydrogenase reversible,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
APRAUR,5-amino-6-(5-phosphoribosylamino)uracil reductase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARAB_Lt,L arabinoase extracellular transport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARAI,L-arabinose isomerase,0,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,0
ARBTpts,Arbutin transport via PEPPyr PTS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARBabc,L-arabinose transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARBt2r,L-arabinose transport via proton symport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGAGMt7pp,Arginine/agmatine antiport (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGDC,Arginine decarboxylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGSL,Argininosuccinate lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGSS,Argininosuccinate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGabc,L-arginine transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGabcpp,L-arginine transport via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGt2r,L arganine reversible transport via proton symport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARGtex,L-arginine transport via diffusion (extracellular to periplasm),0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ARNO,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AROAT,Prephenate transaminase,1,1,1,1,1,1,1,0,1,0,0,0,0,0,1,1,1,1,1
AROH,L-Arogenate hydro-lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASAD,Aspartate-semialdehyde dehydrogenase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASCBPL,L-ascorbate 6-phosphate lactonase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ASCBpts,L-ascorbate transport via PEP:Pyr PTS,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ASLP,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASNN,L-asparaginase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASNS1,Asparagine synthase (glutamine-hydrolysing),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASNS2,Asparagine synthetase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASNabc,L-asparagine transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASP1DC,Aspartate 1-decarboxylase,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
ASP4DC,Aspartate 4-decarboxylase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPCT,Aspartate carbamoyltransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPK,Aspartate kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPO2,L-aspartate oxidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPO2y,L-aspartate oxidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPO5,L-aspartate oxidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPR,Aspartate racemase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
ASPTA,Aspartate transaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPTA4,Aspartate transaminase,1,1,1,1,1,1,0,0,1,0,0,0,0,0,1,1,1,1,1
ASPabc,L-aspartate transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPabcpp,L-aspartate transport via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASPt2r,L aspartate reversible transport via proton symport,1,1,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,1,1
ASPtex,L-aspartate transport via diffusion (extracellular to periplasm),1,1,0,1,1,1,1,0,1,0,0,1,1,0,1,0,1,0,1
ASPtpp,L-aspartate uptake via facillitated diffusion,0,0,1,0,0,0,0,1,0,1,1,0,0,1,0,1,0,1,0
ATPM,R_ATPM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ATPPRT,ATP phosphoribosyltransferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BALAt2r,Beta Alanine transport in via proton symport,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BARB,MNXR70450,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
BDH,3-HYDROXYBUTYRATE-DEHYDROGENASE-RXN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BETALDHx,Betaine-aldehyde dehydrogenase,0,0,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0
BETALDHy,Betaine-aldehyde dehydrogenase,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,1
BGLA,Beta-glucosidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BGLA1,6-phospho-beta-glucosidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BG_CELLB,Beta glucosidase  cellobiose,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BG_MADG,Beta glucosidase  methyl alpha D glucoside,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BG_MBDG,Beta glucosidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BHBtpp,Transport of (r)-3-hydroxybutanoate [extraorganism-cytosol](passive),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BNOCA,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BPNT,"3',5'-bisphosphate nucleotidase",1,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0
BPNT_1,"3',5'-bisphosphate nucleotidase",0,0,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1
BSCT,Benzoylsuccinyl-CoA thiolase,0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
BTCOARx,Butyryl-coA reductase (NADH),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BTNTe,Release of biotin across the basolatral membrane,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BTNt,Biotin ABC transporter,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
BTNt2i,Biotin uptake,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
BTS,Butanol synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BTS_nadph,Butanol synthase (NADPH),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUP2,Beta-ureidopropionase (D-3-amino-isobutanoate forming),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUPN,Beta-ureidopropionase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUTCT,Acetyl-CoA:butyrate-CoA transferase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUTCT2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BUTKr,Butyrate kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BZt,Benzoate transport (diffusion),0,1,1,1,0,1,0,0,1,0,0,0,0,0,1,1,0,1,0
C4HP,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CA2abc,Calcium transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAT,Catalase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CAt6,CAt6,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CBPAH,N-carbamoylputrescine amidohydrolase,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
CBPS,Carbamoyl-phosphate synthase (glutamine-hydrolysing),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CD2t4pp,Cadmium (Cd+2) transport out via proton antiport (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CD2tpp,Cadmium (+2) transport in via permease (no H+),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CD6P,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDAPPA120,CDP-Diacylglycerol pyrophostatase (n-C12:0),0,1,1,1,1,1,0,1,1,0,1,0,0,1,1,1,1,1,0
CDAPPA140,CDP-Diacylglycerol pyrophostatase (n-C14:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDAPPA160,CDP-Diacylglycerol pyrophostatase (n-C16:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDAPPA180,CDP-Diacylglycerol pyrophostatase (n-C18:0),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDAPPA181,CDP-Diacylglycerol pyrophostatase (n-C18:1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDDTPP,DTTP cytidine 5'-phosphotransferase,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
CDGUNPD,"3,5-cyclic-nucleotide phosphodiesterase",1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CDPMEK,4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CELBpts,Cellobiose transport via PEPPyr PTS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CELBt2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CELLBpts_2,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CELLS,Cellulose synthase  UDP forming,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CELLex,Cellulose export system,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CGLYabcpp,L-Cysteinylglycine (Cys-Gly) transport via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CGLYtex,L-Cysteinylglycine transport via diffusion (extracellular to periplasm),0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,1
CHLabc,Choline transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHLabcpp,Choline transport via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHLt3pp,Choline transport via proton antiport (periplasm),0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1
CHLtex,Choline transport via diffusion (extracellular to periplasm),1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,0
CHOLD,Choline dehydrogenase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHOLD2,Choline dehydrogenase  FAD dependent,1,1,1,0,1,0,0,0,1,1,0,1,1,0,1,1,1,1,0
CHOLD3,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHOLSH,CHOLINE-SULFATASE-RXN,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CHOLSabc_1,Choline sulfate transport in via ABC system,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CHORM,Chorismate mutase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHORS,Chorismate synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHORt2,Chorismate transport inout via proton symport,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
CHRPL,Chorismate pyruvate lyase,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CLt3_2pp,Chloride transport out via proton antiport (2:1) (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,1,0,1
CLtex,Chloride (Cl-1) transport via diffusion (extracellular to periplasm),1,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0
CLtipp,Chloride ion transport in via diffusion (periplasm),0,0,0,0,0,0,0,1,0,1,1,0,0,1,0,0,1,0,1
CMCBTFL,CMCBTFL,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CMCBTFU,CMCBTFU,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
CMCMSAD,4 carboxy 2 hydroxymuconate 6 semialdehyde dehydrogenase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CMHMI,5 carboxymethyl 2 hydroxymuconate delta isomerase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CMt2ex,Chloramphenicol extrusion,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMt2ppi,Chloramphenicol transport via diffusion  periplasm to cytosol,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMtex,Chloramphenicol transport via diffusion (extracellular to periplasm),1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CMtpp,Chloramphenicol transport via TolC system,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CO2FO,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CO2t,CO2 transporter via diffusion,0,0,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,0,0
CO2tex,CO2 transport via diffusion (extracellular to periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CO2tpp,CO2 transporter via diffusion (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COAt,COAt,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,0,1,0
COBALT2tex,Cobalt (Co+2) transport via diffusion (extracellular to periplasm),0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
COBALT2tpp,Cobalt transport in via permease (no H+),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
COBALTt4pp,Cobalt transport out via proton antiporter (periplasm),1,1,1,0,0,0,1,1,0,1,1,1,1,1,0,1,0,1,1
COBALTt5,Cobalt (Co+2) transport via diffusion (extracellular to cytoplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COabc,Cobalt transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
COt_1,Co transport via diffusion (extracellular to periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CPPPGO,Coproporphyrinogen oxidase (O2 required),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CPPPGO2,Oxygen Independent coproporphyrinogen-III oxidase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CREAT,Creatinase,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
CREATtex,Creatine transport via diffusion  extracellular to periplasm,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
CREATtpp,Creatine transport via proton symport  reversible  periplasm,1,1,0,0,1,1,0,1,1,1,1,1,1,1,1,0,1,0,0
CRESOLtex,Cresol transport via diffusion,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
CRNDH,Carnitine 3 dehydrogenase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CRNabc,L-carnitine transport via ABC system,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CRNabcpp,L-carnitine transport via ABC system (periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CRNtex,L-carnitine transport via diffusion (extracellular to periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CRO4abcpp,Chromate transport via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CRO4t3pp,Chromate transport out via proton antiport (cytoplasm to periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CSND,Cytosine deaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CSNt2,Cytosine transport in via proton symport,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CT6PT,,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CU1Opp,Cuprous Oxidase (Cu+1),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CU2tex,Copper (Cu+2) transport via diffusion (extracellular to periplasm),1,1,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,1,1
CU2tpp,Copper transport in via permease (no H+),0,0,0,1,1,0,1,1,1,1,1,1,0,1,1,0,1,0,0
CUtex,Copper (Cu+1) transport via diffusion (extracellular to periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYANST,Cyanide sulfurtransferase,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CYANt2pp,Cyanate transport via proton symport  periplasm,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CYANtex,Cyanide transport via diffusion (extracellular to periplasm),1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CYO4pp,Cytochrome c reductase  pqq dependent,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CYSDS,Cysteine Desulfhydrase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYSS,Cysteine synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYSS_2,Cysteine synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYSTA,Cysteine transaminase,0,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,0
CYSTGL,Cystathionine g lyase,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1
CYSTL,Cystathionine b-lyase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYSTS,Cystathionine beta synthase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYSabc,L-cysteine transport via ABC system,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYSabc2pp,L-cysteine export via ABC system (cytoplasm to periplasm),1,1,1,1,0,0,0,0,0,1,0,1,1,0,0,1,0,1,0
CYSabcpp,L-cysteine uptake via ABC system (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYStex,L-cysteine transport via diffusion (extracellular to periplasm),0,0,0,0,1,1,1,1,1,0,1,0,0,1,1,0,1,0,1
CYTBO3_4pp,Cytochrome oxidase bo3 (ubiquinol-8: 4 protons) (periplasm),1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CYTCAA3pp,Cytochrome c oxidase aa3  2 protons1 electron    periplasm,1,0,0,0,0,0,1,1,0,1,1,1,1,1,0,0,0,0,1
CYTD,Cytidine deaminase,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
